RECID=R2012111540000002	辵	chuò
RECID=R2012111540025567	文化生活	wén huà shēng huó
RECID=R2012111540025568	文化买办	wén huà mǎi bàn
RECID=R2012111540025569	文化沙漠	wén huà shā mò
RECID=R2012111540025570	文化夜市	wén huà yè shì
RECID=R2012111540025571	文化衫	wén huà shān
RECID=R2012111540025572	文化参赞	wén huà cān zàn
RECID=R2012111540025573	文化宫	wén huà gōng
RECID=R2012111540025574	文化馆	wén huà guǎn
RECID=R2012111540025575	文化遗产	wén huà yí chǎn
RECID=R2012111540025576	文从字顺	wén cóng zì shùn
RECID=R2012111540025577	文风	wén fēng
RECID=R2012111540025578	文火	wén huǒ
RECID=R2012111540025579	文斗	wén dòu
RECID=R2012111540025580	文丑	wén chǒu
RECID=R2012111540025581	文以载道	wén yǐ zǎi dào
RECID=R2012111540025582	文书	wén shū
RECID=R2012111540025583	文本	wén běn
RECID=R2012111540025584	文石	wén shí
RECID=R2012111540025585	文旦	wén dàn
RECID=R2012111540025586	文史	wén shǐ
RECID=R2012111540025587	文句	wén jù
RECID=R2012111540025588	文册	wén cè
RECID=R2012111540025589	文鸟	wén niǎo
RECID=R2012111540025590	文场	wén chǎng
RECID=R2012111540025591	文过	wén guò
RECID=R2012111540025592	文过饰非	wén guò shì fēi
RECID=R2012111540025593	文曲星	wén qǔ xīng
RECID=R2012111540025594	文网	wén wǎng
RECID=R2012111540025595	文竹	wén zhú
RECID=R2012111540025596	文件	wén jiàn
RECID=R2012111540025597	文件格式	wén jiàn gé shì
RECID=R2012111540025598	文似其人	wén sì qí rén
RECID=R2012111540025599	文名	wén míng
RECID=R2012111540025600	文字	wén zì
RECID=R2012111540025601	文字交	wén zì jiāo
RECID=R2012111540025602	文字改革	wén zì gǎi gé
RECID=R2012111540025603	文字狱	wén zì yù
RECID=R2012111540025604	文论	wén lùn
RECID=R2012111540025605	文如其人	wén rú qí rén
RECID=R2012111540025606	文戏	wén xì
RECID=R2012111540025607	文坛	wén tán
RECID=R2012111540025608	文抄公	wén chāo gōng
RECID=R2012111540025609	文告	wén gào
RECID=R2012111540025610	文秀	wén xiù
RECID=R2012111540025611	文体	wén tǐ
RECID=R2012111540025612	文身	wén shēn
RECID=R2012111540025613	文言	wén yán
RECID=R2012111540025614	文言小说	wén yán xiǎo shuō
RECID=R2012111540025615	文言文	wén yán wén
RECID=R2012111540025616	文库	wén kù
RECID=R2012111540025617	文社	wén shè
RECID=R2012111540025618	文诌诌	wén zhōu zhōu
RECID=R2012111540025619	文玩	wén wán
RECID=R2012111540025620	文武	wén wǔ
RECID=R2012111540025621	文武双全	wén wǔ shuāng quán
RECID=R2012111540025622	文武全才	wén wǔ quán cái
RECID=R2012111540025623	文责	wén zé
RECID=R2012111540025624	文苑	wén yuàn
RECID=R2012111540025625	文林	wén lín
RECID=R2012111540025626	文事	wén shì
RECID=R2012111540025627	文虎	wén hǔ
RECID=R2012111540025628	文具	wén jù
RECID=R2012111540025629	文昌	wén chāng
RECID=R2012111540025630	文昌鱼	wén chāng yú
RECID=R2012111540025631	文明	wén míng
RECID=R2012111540025632	文明生产	wén míng shēng chǎn
RECID=R2012111540025633	文明戏	wén míng xì
RECID=R2012111540025634	文明时代	wén míng shí dài
RECID=R2012111540025635	文明词	wén míng cí
RECID=R2012111540025636	文明结婚	wén míng jié hūn
RECID=R2012111540025637	文明脚	wén míng jiǎo
RECID=R2012111540025638	文明棍	wén míng gùn
RECID=R2012111540025639	文贩	wén fàn
RECID=R2012111540025640	文物	wén wù
RECID=R2012111540025641	文例	wén lì
RECID=R2012111540025642	文凭	wén píng
RECID=R2012111540025643	文侩	wén kuài
RECID=R2012111540025644	文质彬彬	wén zhì bīn bīn
RECID=R2012111540025645	文采	wén cǎi
RECID=R2012111540025646	文采风流	wén cǎi fēng liú
RECID=R2012111540025647	文饰	wén shì
RECID=R2012111540025648	文庙	wén miào
RECID=R2012111540025649	文盲	wén máng
RECID=R2012111540025650	文氓	wén máng
RECID=R2012111540025651	文法	wén fǎ
RECID=R2012111540025652	文治	wén zhì
RECID=R2012111540025653	文治武力	wén zhì wǔ lì
RECID=R2012111540025654	文学	wén xuè
RECID=R2012111540025655	文学史	wén xué shǐ
RECID=R2012111540025656	文学批评	wén xué pī píng
RECID=R2012111540025657	文学家	wén xué jiā
RECID=R2012111540025658	文学理论	wén xué lǐ lùn
RECID=R2012111540025659	文宗	wén zōng
RECID=R2012111540025660	文官	wén guān
RECID=R2012111540025661	文官制度	wén guān zhì dù
RECID=R2012111540025662	文房	wén fáng
RECID=R2012111540025663	文房四宝	wén fáng sì bǎo
RECID=R2012111540025664	文话	wén huà
RECID=R2012111540025665	文绉	wén zhōu
RECID=R2012111540025666	文绉绉	wén zhōu zhōu
RECID=R2012111540025667	文契	wén qì
RECID=R2012111540025668	文革	wén gé
RECID=R2012111540025669	文面	wén miàn
RECID=R2012111540025670	文星	wén xīng
RECID=R2012111540025671	文星高照	wén xīng gāo zhào
RECID=R2012111540025672	文界	wén jiè
RECID=R2012111540025673	文思	wén sī
RECID=R2012111540025674	文选	wén xuǎn
RECID=R2012111540025675	文科	wén kē
RECID=R2012111540025676	文保	wén bǎo
RECID=R2012111540025677	文脉	wén mài
RECID=R2012111540025678	文疯	wén fēng
RECID=R2012111540025679	文阀	wén fá
RECID=R2012111540025680	文派	wén pài
RECID=R2012111540025681	文恬武嬉	wén tián wǔ xī
RECID=R2012111540025682	文冠果	wén guān guǒ
RECID=R2012111540025683	文殊	wén shū
RECID=R2012111540025684	文笔	wén bǐ
RECID=R2012111540025685	文债	wén zhài
RECID=R2012111540025686	文酒	wén jiǔ
RECID=R2012111540025687	文案	wén àn
RECID=R2012111540025688	文课	wén kè
RECID=R2012111540025689	文谈	wén tán
RECID=R2012111540025690	文弱	wén ruò
RECID=R2012111540025691	文弱书生	wén ruò shū shēng
RECID=R2012111540025692	文娱	wén yú
RECID=R2012111540025693	文理	wén lǐ
RECID=R2012111540025694	文教	wén jiào
RECID=R2012111540025695	文职	wén zhí
RECID=R2012111540025696	文野	wén yě
RECID=R2012111540025697	文章	wén zhāng
RECID=R2012111540025698	文剪公	wén jiǎn gōng
RECID=R2012111540025699	文祸	wén huò
RECID=R2012111540025700	文雅	wén yǎ
RECID=R2012111540025701	文蛤	wén gé
RECID=R2012111540025702	文牍	wén dú
RECID=R2012111540025703	文集	wén jí
RECID=R2012111540025704	文痞	wén pǐ
RECID=R2012111540025705	文献	wén xiàn
RECID=R2012111540025706	文献片	wén xiàn piàn
RECID=R2012111540025707	文禁	wén jìn
RECID=R2012111540025708	文辞	wén cí
RECID=R2012111540025709	文意	wén yì
RECID=R2012111540025710	文静	wén jìng
RECID=R2012111540025711	文韬武略	wén tāo wǔ lüè
RECID=R2012111540025712	文摘	wén zhāi
RECID=R2012111540025713	文豪	wén háo
RECID=R2012111540025714	文墨	wén mò
RECID=R2012111540025715	文墨人	wén mò rén
RECID=R2012111540025716	文稿	wén gǎo
RECID=R2012111540025717	文德	wén dé
RECID=R2012111540025718	文翰	wén hàn
RECID=R2012111540025719	斋	zhāi
RECID=R2012111540025720	斋七	zhāi qī
RECID=R2012111540025721	斋公	zhāi gōng
RECID=R2012111540025722	斋月	zhāi yuè
RECID=R2012111540025723	斋戒	zhāi jiè
RECID=R2012111540025724	斋戒节	zhāi jiè jié
RECID=R2012111540025725	斋饭	zhāi fàn
RECID=R2012111540025726	斋果	zhāi guǒ
RECID=R2012111540025727	斋舍	zhāi shè
RECID=R2012111540025728	斋婆	zhāi pó
RECID=R2012111540025729	斋醮	zhāi jiào
RECID=R2012111540025730	斌	
RECID=R2012111540025731	斐	fěi
RECID=R2012111540025732	斐然	fěi rán
RECID=R2012111540025733	斒	bān
RECID=R2012111540025734	斒斓	bān lán
RECID=R2012111540025735	斓	lán
RECID=R2012111540025737	方	fāng
RECID=R2012111540025738	方儿	fāngr
RECID=R2012111540025739	方士	fāng shì
RECID=R2012111540025740	方才	fāng cái
RECID=R2012111540025741	方寸	fāng cùn
RECID=R2012111540025742	方丈	fāng zhàng
RECID=R2012111540025743	方巾	fāng jīn
RECID=R2012111540025744	方巾气	fāng jīn qì
RECID=R2012111540025745	方子	fāng zi
RECID=R2012111540025746	方今	fāng jīn
RECID=R2012111540025747	方方面面	fāng fāng miàn miàn
RECID=R2012111540025748	方孔钱	fāng kǒng qián
RECID=R2012111540025749	方队	fāng duì
RECID=R2012111540025750	方以类聚	fāng yǐ lèi jù
RECID=R2012111540025751	方书	fāng shū
RECID=R2012111540025752	方正	fāng zhèng
RECID=R2012111540025753	方术	fāng shù
RECID=R2012111540025754	方外	fāng wài
RECID=R2012111540025755	方式	fāng shì
RECID=R2012111540025756	方先生	fāng xiān sheng
RECID=R2012111540025757	方竹	fāng zhú
RECID=R2012111540025758	方向	fāng xiàng
RECID=R2012111540025759	方向盘	fāng xiàng pán
RECID=R2012111540025760	方向舵	fāng xiàng duò
RECID=R2012111540025761	方舟	fāng zhōu
RECID=R2012111540025762	方兴未艾	fāng xīng wèi ài
RECID=R2012111540025763	方阵	fāng zhèn
RECID=R2012111540025764	方技	fāng jì
RECID=R2012111540025765	方志	fāng zhì
RECID=R2012111540025766	方块	fāng kuài
RECID=R2012111540025767	方块字	fāng kuài zì
RECID=R2012111540025768	方步	fāng bù
RECID=R2012111540025769	方针	fāng zhēn
RECID=R2012111540025770	方位	fāng wèi
RECID=R2012111540025771	方位角	fāng wèi jiǎo
RECID=R2012111540025772	方位词	fāng wèi cí
RECID=R2012111540025773	方言	fāng yán
RECID=R2012111540025774	方枘圆凿	fāng ruì yuán záo
RECID=R2012111540025775	方剂	fāng jì
RECID=R2012111540025776	方单	fāng dān
RECID=R2012111540025777	方法	fāng fǎ
RECID=R2012111540025778	方法论	fāng fǎ lùn
RECID=R2012111540025779	方始	fāng shǐ
RECID=R2012111540025780	方城	fāng chéng
RECID=R2012111540025781	方面	fāng miàn
RECID=R2012111540025782	方面军	fāng miàn jūn
RECID=R2012111540025783	方便	fāng biàn
RECID=R2012111540025784	方便门	fāng biàn mén
RECID=R2012111540025785	方便面	fāng biàn miàn
RECID=R2012111540025786	方便食品	fāng biàn shí pǐn
RECID=R2012111540025787	方胜	fāng shèng
RECID=R2012111540025788	方音	fāng yīn
RECID=R2012111540025789	方根	fāng gēn
RECID=R2012111540025790	方桌	fāng zhuō
RECID=R2012111540025791	方圆	fāng yuán
RECID=R2012111540025792	方家	fāng jiā
RECID=R2012111540025793	方案	fāng àn
RECID=R2012111540025794	方略	fāng lüè
RECID=R2012111540025795	方隅	fāng yú
RECID=R2012111540025796	方程	fāng chéng
RECID=R2012111540025797	方程组	fāng chéng zǔ
RECID=R2012111540025798	方策	fāng cè
RECID=R2012111540025799	方照潮	fāng zhào cháo
RECID=R2012111540025800	方整	fāng zhěng
RECID=R2012111540025801	方糖	fāng táng
RECID=R2012111540025802	於	wū
RECID=R2012111540025803	於乎	wū hū
RECID=R2012111540025804	於戏	wū hū
RECID=R2012111540025805	於菟	wū tú
RECID=R2012111540025806	於	
RECID=R2012111540025807	於	yū
RECID=R2012111540025808	<span class="PUC01_E8">&#xe8bc;</span>	yú
RECID=R2012111540025809	斿	
RECID=R2012111540025810	斿	yóu
RECID=R2012111540025811	施	shī
RECID=R2012111540025812	施工	shī gōng
RECID=R2012111540025813	施与	shī yǔ
RECID=R2012111540025814	施为	shī wéi
RECID=R2012111540025815	施以	shī yǐ
RECID=R2012111540025816	施用	shī yòng
RECID=R2012111540025817	施主	shī zhǔ
RECID=R2012111540025818	施礼	shī lǐ
RECID=R2012111540025819	施加	shī jiā
RECID=R2012111540025820	施压	shī yā
RECID=R2012111540025821	施行	shī xíng
RECID=R2012111540025822	施诊	shī zhěn
RECID=R2012111540025823	施舍	shī shě
RECID=R2012111540025824	施肥	shī féi
RECID=R2012111540025825	施放	shī fàng
RECID=R2012111540025826	施政	shī zhèng
RECID=R2012111540025827	施药	shī yào
RECID=R2012111540025828	施威	shī wēi
RECID=R2012111540025829	施恩	shī ēn
RECID=R2012111540025830	施斋	shī zhāi
RECID=R2012111540025831	施展	shī zhǎn
RECID=R2012111540025832	施授	shī shòu
RECID=R2012111540025833	施教	shī jiào
RECID=R2012111540025834	施赈	shī zhèn
RECID=R2012111540025835	施惠	shī huì
RECID=R2012111540025836	施暴	shī bào
RECID=R2012111540025837	旆	pèi
RECID=R2012111540025838	旄	máo
RECID=R2012111540025839	旄	mào
RECID=R2012111540025840	旅	lǚ
RECID=R2012111540025841	旅人	lǚ rén
RECID=R2012111540025842	旅人蕉	lǚ rén jiāo
RECID=R2012111540025843	旅鸟	lǚ niǎo
RECID=R2012111540025844	旅行	lǚ xíng
RECID=R2012111540025845	旅行车	lǚ xíng chē
RECID=R2012111540025846	旅行社	lǚ xíng shè
RECID=R2012111540025847	旅次	lǚ cì
RECID=R2012111540025848	旅进旅退	lǚ jìn lǚ tuì
RECID=R2012111540025849	旅伴	lǚ bàn
RECID=R2012111540025850	旅邸	lǚ dǐ
RECID=R2012111540025851	旅社	lǚ shè
RECID=R2012111540025852	旅舍	lǚ shè
RECID=R2012111540025853	旅店	lǚ diàn
RECID=R2012111540025854	旅居	lǚ jū
RECID=R2012111540025855	旅客	lǚ kè
RECID=R2012111540025856	旅客机	lǚ kè jī
RECID=R2012111540025857	旅费	lǚ fèi
RECID=R2012111540025858	旅途	lǚ tú
RECID=R2012111540025859	旅资	lǚ zī
RECID=R2012111540025860	旅馆	lǚ guǎn
RECID=R2012111540025861	旅程	lǚ chéng
RECID=R2012111540025862	旅装	lǚ zhuāng
RECID=R2012111540025863	旅游	lǚ yóu
RECID=R2012111540025864	旅游车	lǚ yóu chē
RECID=R2012111540025865	旅游业	lǚ yóu yè
RECID=R2012111540025866	旅游衫	lǚ yóu shān
RECID=R2012111540025867	旅游船	lǚ yóu chuán
RECID=R2012111540025868	旅游帽	lǚ yóu mào
RECID=R2012111540025869	旅游鞋	lǚ yóu xié
RECID=R2012111540025870	旅路	lǚ lù
RECID=R2012111540025871	旅愁	lǚ chóu
RECID=R2012111540025872	旃	zhān
RECID=R2012111540025873	旃檀	zhān tán
RECID=R2012111540025874	旁	páng
RECID=R2012111540025875	旁人	páng rén
RECID=R2012111540025876	旁及	páng jí
RECID=R2012111540025877	旁门	páng mén
RECID=R2012111540025878	旁门左道	páng mén zuǒ dào
RECID=R2012111540025879	旁门邪道	páng mén xié dào
RECID=R2012111540025880	旁支	páng zhī
RECID=R2012111540025881	旁心	páng xīn
RECID=R2012111540025882	旁白	páng bái
RECID=R2012111540025883	旁出	páng chū
RECID=R2012111540025884	旁边	páng biān
RECID=R2012111540025885	旁收博采	páng shōu bó cǎi
RECID=R2012111540025886	旁观	páng guān
RECID=R2012111540025887	旁观者清	páng guān zhě qīng
RECID=R2012111540025888	旁听	páng tīng
RECID=R2012111540025889	旁听席	páng tīng xí
RECID=R2012111540025890	旁系	páng xì
RECID=R2012111540025891	旁系血亲	páng xì xuè qīn
RECID=R2012111540025892	旁系亲属	páng xì qīn shǔ
RECID=R2012111540025893	旁证	páng zhèng
RECID=R2012111540025894	旁若无人	páng ruò wú rén
RECID=R2012111540025895	旁枝末节	páng zhī mò jié
RECID=R2012111540025896	旁征博引	páng zhēng bó yǐn
RECID=R2012111540025897	旁通	páng tōng
RECID=R2012111540025898	旁搜博采	páng sōu bó cǎi
RECID=R2012111540025899	旁骛	páng wù
RECID=R2012111540025900	旁敲侧击	páng qiāo cè jī
RECID=R2012111540025901	旁	bàng
RECID=R2012111540025902	旁午	bàng wǔ
RECID=R2012111540025903	旌	jīng
RECID=R2012111540025904	旌节	jīng jié
RECID=R2012111540025905	旌表	jīng biǎo
RECID=R2012111540025906	旌旗	jīng qí
RECID=R2012111540025907	族	zú
RECID=R2012111540025908	族人	zú rén
RECID=R2012111540025909	族内婚	zú nèi hūn
RECID=R2012111540025910	族长	zú zhǎng
RECID=R2012111540025911	族灭	zú miè
RECID=R2012111540025912	族兄	zú xiōng
RECID=R2012111540025913	族外婚	zú wài hūn
RECID=R2012111540025914	族地	zú dì
RECID=R2012111540025915	族权	zú quán
RECID=R2012111540025916	族爷	zú yé
RECID=R2012111540025917	族弟	zú dì
RECID=R2012111540025918	族规	zú guī
RECID=R2012111540025919	族诛	zú zhū
RECID=R2012111540025920	族绅	zú shēn
RECID=R2012111540025921	族亲	zú qīn
RECID=R2012111540025922	族类	zú lèi
RECID=R2012111540025923	族尊	zú zūn
RECID=R2012111540025924	族谱	zú pǔ
RECID=R2012111540025925	族徽	zú huī
RECID=R2012111540025926	旎	nǐ
RECID=R2012111540025927	旋	xuán
RECID=R2012111540025928	旋毛虫	xuán máo chóng
RECID=R2012111540025929	旋动	xuán dòng
RECID=R2012111540025930	旋压	xuán yā
RECID=R2012111540025931	旋弄	xuán nòng
RECID=R2012111540025932	旋即	xuán jí
RECID=R2012111540025933	旋转	xuán zhuǎn
RECID=R2012111540025934	旋转起重机	xuán zhuǎn qǐ zhòng jī
RECID=R2012111540025935	旋转乾坤	xuán zhuǎn qián kūn
RECID=R2012111540025936	旋卷	xuán juǎn
RECID=R2012111540025937	旋律	xuán lǜ
RECID=R2012111540025938	旋绕	xuán rào
RECID=R2012111540025939	旋涡	xuán wō
RECID=R2012111540025940	旋涡泵	xuán wō bèng
RECID=R2012111540025941	旋乾转坤	xuán qián zhuǎn kūn
RECID=R2012111540025942	旋梯	xuán tī
RECID=R2012111540025943	旋凿	xuán záo
RECID=R2012111540025944	旋塞	xuán sāi
RECID=R2012111540025945	旋舞	xuán wǔ
RECID=R2012111540025946	旋踵	xuán zhǒng
RECID=R2012111540025947	旋翼	xuán yì
RECID=R2012111540025948	旋翼机	xuán yì jī
RECID=R2012111540025949	旋	xuàn
RECID=R2012111540025950	旋子	xuàn zi
RECID=R2012111540025951	旋风	xuàn fēng
RECID=R2012111540025952	旋风炉	xuàn fēng lú
RECID=R2012111540025953	旋风装	xuàn fēng zhuāng
RECID=R2012111540025954	旋	xuàn
RECID=R2012111540025955	旋工	xuàn gōng
RECID=R2012111540025956	旋子	xuàn zi
RECID=R2012111540025957	旋床	xuàn chuáng
RECID=R2012111540025958	旐	zhào
RECID=R2012111540025959	旒	liú
RECID=R2012111540025960	旗	qí
RECID=R2012111540025961	旗子	qí zi
RECID=R2012111540025962	旗开得胜	qí kāi dé shèng
RECID=R2012111540025963	旗手	qí shǒu
RECID=R2012111540025964	旗号	qí hào
RECID=R2012111540025965	旗杆	qí gān
RECID=R2012111540025966	旗兵	qí bīng
RECID=R2012111540025967	旗枪	qí qiāng
RECID=R2012111540025968	旗帜	qí zhì
RECID=R2012111540025969	旗帜鲜明	qí zhì xiān míng
RECID=R2012111540025970	旗鱼	qí yú
RECID=R2012111540025971	旗竿	qí gān
RECID=R2012111540025972	旗语	qí yǔ
RECID=R2012111540025973	旗舰	qí jiàn
RECID=R2012111540025974	旗鼓相当	qí gǔ xiāng dāng
RECID=R2012111540025975	旗	qí
RECID=R2012111540025976	旗人	qí rén
RECID=R2012111540025977	旗下	qí xià
RECID=R2012111540025978	旗袍	qí páo
RECID=R2012111540025979	旗袍裙	qí páo qún
RECID=R2012111540025980	旗装	qí zhuāng
RECID=R2012111540025981	旗籍	qí jí
RECID=R2012111540025982	旖	yǐ
RECID=R2012111540025983	旖旎	yǐ nǐ
RECID=R2012111540025984	旛	fān
RECID=R2012111540025985	旜	
RECID=R2012111540025987	火	huǒ
RECID=R2012111540025988	火儿	huǒr
RECID=R2012111540025989	火刀	huǒ dāo
RECID=R2012111540025990	火力	huǒ lì
RECID=R2012111540025991	火力发电	huǒ lì fā diàn
RECID=R2012111540025992	火力发电厂	huǒ lì fā diàn chǎng
RECID=R2012111540025993	火力点	huǒ lì diǎn
RECID=R2012111540025994	火力圈	huǒ lì quān
RECID=R2012111540025995	火大无湿柴	huǒ dà wú shī chái
RECID=R2012111540025996	火上加油	huǒ shàng jiā yóu
RECID=R2012111540025997	火上浇油	huǒ shàng jiāo yóu
RECID=R2012111540025998	火上添油	huǒ shàng tiān yóu
RECID=R2012111540025999	火口湖	huǒ kǒu hú
RECID=R2012111540026000	火山	huǒ shān
RECID=R2012111540026001	火山口	huǒ shān kǒu
RECID=R2012111540026002	火山灰	huǒ shān huī
RECID=R2012111540026003	火山岛	huǒ shān dǎo
RECID=R2012111540026004	火山岩	huǒ shān yán
RECID=R2012111540026005	火山锥	huǒ shān zhuī
RECID=R2012111540026006	火门	huǒ mén
RECID=R2012111540026007	火叉	huǒ chā
RECID=R2012111540026008	火井	huǒ jǐng
RECID=R2012111540026009	火夫	huǒ fū
RECID=R2012111540026010	火云	huǒ yún
RECID=R2012111540026011	火不拨不旺	huǒ bù bō bù wàng
RECID=R2012111540026012	火不点不着	huǒ bù diǎn bù zháo
RECID=R2012111540026013	火车	huǒ chē
RECID=R2012111540026014	火车头	huǒ chē tóu
RECID=R2012111540026015	火车灯	huǒ chē dēng
RECID=R2012111540026016	火车邮厢	huǒ chē yóu xiāng
RECID=R2012111540026017	火车座	huǒ chē zuò
RECID=R2012111540026018	火中取栗	huǒ zhōng qǔ lì
RECID=R2012111540026019	火水	huǒ shuǐ
RECID=R2012111540026020	火气	huǒ qì
RECID=R2012111540026021	火化	huǒ huà
RECID=R2012111540026022	火丹	huǒ dān
RECID=R2012111540026023	火火色色	huǒ huǒ sè sè
RECID=R2012111540026024	火引	huǒ yǐn
RECID=R2012111540026025	火石	huǒ shí
RECID=R2012111540026026	火龙	huǒ lóng
RECID=R2012111540026027	火电	huǒ diàn
RECID=R2012111540026028	火电厂	huǒ diàn chǎng
RECID=R2012111540026029	火印	huǒ yìn
RECID=R2012111540026030	火主	huǒ zhǔ
RECID=R2012111540026031	火头	huǒ tóu
RECID=R2012111540026032	火头上	huǒ tóu shang
RECID=R2012111540026033	火头军	huǒ tóu jūn
RECID=R2012111540026034	火刑	huǒ xíng
RECID=R2012111540026035	火地	huǒ dì
RECID=R2012111540026036	火场	huǒ chǎng
RECID=R2012111540026037	火成岩	huǒ chéng yán
RECID=R2012111540026038	火邪	huǒ xié
RECID=R2012111540026039	火光	huǒ guāng
RECID=R2012111540026040	火网	huǒ wǎng
RECID=R2012111540026041	火肉	huǒ ròu
RECID=R2012111540026042	火舌	huǒ shé
RECID=R2012111540026043	火伕	huǒ fū
RECID=R2012111540026044	火色	huǒ sè
RECID=R2012111540026045	火冲冲	huǒ chōng chōng
RECID=R2012111540026046	火并	huǒ bìng
RECID=R2012111540026047	火池	huǒ chí
RECID=R2012111540026048	火宅	huǒ zhái
RECID=R2012111540026049	火阵	huǒ zhèn
RECID=R2012111540026050	火红	huǒ hóng
RECID=R2012111540026051	火攻	huǒ gōng
RECID=R2012111540026052	火赤链	huǒ chì liàn
RECID=R2012111540026053	火把	huǒ bǎ
RECID=R2012111540026054	火把节	huǒ bǎ jié
RECID=R2012111540026055	火坑	huǒ kēng
RECID=R2012111540026056	火花	huǒ huā
RECID=R2012111540026057	火花塞	huǒ huā sāi
RECID=R2012111540026058	火针	huǒ zhēn
RECID=R2012111540026059	火伴	huǒ bàn
RECID=R2012111540026060	火灶	huǒ zào
RECID=R2012111540026061	火灾	huǒ zāi
RECID=R2012111540026062	火鸡	huǒ jī
RECID=R2012111540026063	火纸	huǒ zhǐ
RECID=R2012111540026064	火纸捻儿	huǒ zhǐ niǎnr
RECID=R2012111540026065	火纸煤	huǒ zhǐ méi
RECID=R2012111540026066	火表	huǒ biǎo
RECID=R2012111540026067	火者	huǒ zhě
RECID=R2012111540026068	火势	huǒ shì
RECID=R2012111540026069	火拉拉	huǒ lā lā
RECID=R2012111540026070	火拚	huǒ pīn
RECID=R2012111540026071	火苗	huǒ miáo
RECID=R2012111540026072	火枪	huǒ qiāng
RECID=R2012111540026073	火轮	huǒ lún
RECID=R2012111540026074	火轮车	huǒ lún chē
RECID=R2012111540026075	火轮船	huǒ lún chuán
RECID=R2012111540026076	火具	huǒ jù
RECID=R2012111540026077	火呼呼	huǒ hū hū
RECID=R2012111540026078	火迫	huǒ pò
RECID=R2012111540026079	火狐	huǒ hú
RECID=R2012111540026080	火炬	huǒ jù
RECID=R2012111540026081	火炬接力	huǒ jù jiē lì
RECID=R2012111540026082	火炕	huǒ kàng
RECID=R2012111540026083	火炉	huǒ lú
RECID=R2012111540026084	火油	huǒ yóu
RECID=R2012111540026085	火性	huǒ xìng
RECID=R2012111540026086	火房	huǒ fáng
RECID=R2012111540026087	火居道士	huǒ jū dào shi
RECID=R2012111540026088	火姆司本	huǒ mǔ sī běn
RECID=R2012111540026089	火线	huǒ xiàn
RECID=R2012111540026090	火毒	huǒ dú
RECID=R2012111540026091	火巷	huǒ xiàng
RECID=R2012111540026092	火药	huǒ yào
RECID=R2012111540026093	火药库	huǒ yào kù
RECID=R2012111540026094	火药味	huǒ yào wèi
RECID=R2012111540026095	火树	huǒ shù
RECID=R2012111540026096	火树银花	huǒ shù yín huā
RECID=R2012111540026097	火砖	huǒ zhuān
RECID=R2012111540026098	火冒三丈	huǒ mào sān zhàng
RECID=R2012111540026099	火冒三尺	huǒ mào sān chǐ
RECID=R2012111540026100	火星	huǒ xīng
RECID=R2012111540026101	火星塞	huǒ xīng sāi
RECID=R2012111540026102	火炭	huǒ tàn
RECID=R2012111540026103	火种	huǒ zhǒng;huǒ zhòng
RECID=R2012111540026104	火食	huǒ shí
RECID=R2012111540026105	火盆	huǒ pén
RECID=R2012111540026106	火狱	huǒ yù
RECID=R2012111540026107	火急	huǒ jí
RECID=R2012111540026108	火急火燎	huǒ jí huǒ liǎo
RECID=R2012111540026109	火亮	huǒ liàng
RECID=R2012111540026110	火炽	huǒ chì
RECID=R2012111540026111	火炮	huǒ pào
RECID=R2012111540026112	火炮性子	huǒ pào xìng zi
RECID=R2012111540026113	火神	huǒ shén
RECID=R2012111540026114	火神爷	huǒ shén ye
RECID=R2012111540026115	火险	huǒ xiǎn
RECID=R2012111540026116	火绒	huǒ róng
RECID=R2012111540026117	火绒草	huǒ róng cǎo
RECID=R2012111540026118	火耕	huǒ gēng
RECID=R2012111540026119	火热	huǒ rè
RECID=R2012111540026120	火速	huǒ sù
RECID=R2012111540026121	火烈鸟	huǒ liè niǎo
RECID=R2012111540026122	火柴	huǒ chái
RECID=R2012111540026123	火钳	huǒ qián
RECID=R2012111540026124	火钵	huǒ bō
RECID=R2012111540026125	火笔画	huǒ bǐ huà
RECID=R2012111540026126	火候	huǒ hou
RECID=R2012111540026127	火候不到不揭锅	huǒ hou bù dào bù jiē guō
RECID=R2012111540026128	火烧	huǒ shao
RECID=R2012111540026129	火烧云	huǒ shāo yún
RECID=R2012111540026130	火烧火燎	huǒ shāo huǒ liǎo
RECID=R2012111540026131	火烧芭蕉心不死	huǒ shāo bā jiāo xīn bù sǐ
RECID=R2012111540026132	火烧眉毛	huǒ shāo méi mao
RECID=R2012111540026133	火烧债	huǒ shāo zhài
RECID=R2012111540026134	火烧鳊	huǒ shāo biān
RECID=R2012111540026135	火烛	huǒ zhú
RECID=R2012111540026136	火烙印	huǒ lào yìn
RECID=R2012111540026137	火烬	huǒ jìn
RECID=R2012111540026138	火酒	huǒ jiǔ
RECID=R2012111540026139	火海	huǒ hǎi
RECID=R2012111540026140	火海刀山	huǒ hǎi dāo shān
RECID=R2012111540026141	火流星	huǒ liú xīng
RECID=R2012111540026142	火浣布	huǒ huàn bù
RECID=R2012111540026143	火烫	huǒ tàng
RECID=R2012111540026144	火球	huǒ qiú
RECID=R2012111540026145	火捻	huǒ niǎn
RECID=R2012111540026146	火票	huǒ piào
RECID=R2012111540026147	火眼	huǒ yǎn
RECID=R2012111540026148	火眼金睛	huǒ yǎn jīn jīng
RECID=R2012111540026149	火铳	huǒ chòng
RECID=R2012111540026150	火笼	huǒ lóng
