RECID=R2012111530000002	一	yī
RECID=R2012111530023096	发	fà
RECID=R2012111530023097	发上冲冠	fà shàng chōng guān
RECID=R2012111530023098	发毛	fà máo
RECID=R2012111530023099	发卡	fà qiǎ
RECID=R2012111530023100	发式	fà shì
RECID=R2012111530023101	发夹	fà jiā
RECID=R2012111530023102	发网	fà wǎng
RECID=R2012111530023103	发冲冠	fà chōng guān
RECID=R2012111530023104	发际	fà jì
RECID=R2012111530023105	发妻	fà qī
RECID=R2012111530023106	发乳	fà rǔ
RECID=R2012111530023107	发肤	fà fū
RECID=R2012111530023108	发帘	fà lián
RECID=R2012111530023109	发型	fà xíng
RECID=R2012111530023110	发指	fà zhǐ
RECID=R2012111530023111	发指眦裂	fà zhǐ zì liè
RECID=R2012111530023112	发逆	fà nì
RECID=R2012111530023113	发屋	fà wū
RECID=R2012111530023114	发样	fà yàng
RECID=R2012111530023115	发根	fà gēn
RECID=R2012111530023116	发绣	fà xiù
RECID=R2012111530023117	发捻	fà niǎn
RECID=R2012111530023118	发菜	fà cài
RECID=R2012111530023119	发廊	fà láng
RECID=R2012111530023120	发绺	fà liǔ
RECID=R2012111530023121	发晶	fà jīng
RECID=R2012111530023122	发短心长	fà duǎn xīn cháng
RECID=R2012111530023123	发蜡	fà là
RECID=R2012111530023124	发髻	fà jì
RECID=R2012111530023125	发辫	fà biàn
RECID=R2012111530023126	发鬈	fà quán
RECID=R2012111530023127	发癣	fà xuǎn
RECID=R2012111530023128	发鬓	fà bìn
RECID=R2012111530023129	取	qǔ
RECID=R2012111530023130	取人之长，补己之短	qǔ rén zhī cháng bǔ jǐ zhī duǎn
RECID=R2012111530023131	取之不尽，用之不竭	qǔ zhī bù jìn yòng zhī bù jié
RECID=R2012111530023132	取长补短	qǔ cháng bǔ duǎn
RECID=R2012111530023133	取长弃短	qǔ cháng qì duǎn
RECID=R2012111530023134	取火儿	qǔ huǒr
RECID=R2012111530023135	取巧	qǔ qiǎo
RECID=R2012111530023136	取代	qǔ dài
RECID=R2012111530023137	取乐	qǔ lè
RECID=R2012111530023138	取头	qǔ tou
RECID=R2012111530023139	取而代之	qǔ ér dài zhī
RECID=R2012111530023140	取名	qǔ míng
RECID=R2012111530023141	取齐	qǔ qí
RECID=R2012111530023142	取决	qǔ jué
RECID=R2012111530023143	取灯儿	qǔ dēngr
RECID=R2012111530023144	取材	qǔ cái
RECID=R2012111530023145	取证	qǔ zhèng
RECID=R2012111530023146	取势	qǔ shì
RECID=R2012111530023147	取舍	qǔ shě
RECID=R2012111530023148	取法	qǔ fǎ
RECID=R2012111530023149	取宠	qǔ chǒng
RECID=R2012111530023150	取经	qǔ jīng
RECID=R2012111530023151	取便	qǔ biàn
RECID=R2012111530023152	取保	qǔ bǎo
RECID=R2012111530023153	取信	qǔ xìn
RECID=R2012111530023154	取胜	qǔ shèng
RECID=R2012111530023155	取亲	qǔ qīn
RECID=R2012111530023156	取给	qǔ jǐ
RECID=R2012111530023157	取样	qǔ yàng
RECID=R2012111530023158	取笑	qǔ xiào
RECID=R2012111530023159	取消	qǔ xiāo
RECID=R2012111530023160	取悦	qǔ yuè
RECID=R2012111530023161	取偿	qǔ cháng
RECID=R2012111530023162	取得	qǔ dé
RECID=R2012111530023163	取景	qǔ jǐng
RECID=R2012111530023164	取景器	qǔ jǐng qì
RECID=R2012111530023165	取赎	qǔ shú
RECID=R2012111530023166	取销	qǔ xiāo
RECID=R2012111530023167	取道	qǔ dào
RECID=R2012111530023168	取媚	qǔ mèi
RECID=R2012111530023169	取缔	qǔ dì
RECID=R2012111530023170	取摄	qǔ shè
RECID=R2012111530023171	取酬	qǔ chóu
RECID=R2012111530023172	取鉴	qǔ jiàn
RECID=R2012111530023173	取暖	qǔ nuǎn
RECID=R2012111530023174	取暖器	qǔ nuǎn qì
RECID=R2012111530023175	取精用宏	qǔ jīng yòng hóng
RECID=R2012111530023176	取譬	qǔ pì
RECID=R2012111530023177	叔	shū
RECID=R2012111530023178	叔子	shū zi
RECID=R2012111530023179	叔父	shū fù
RECID=R2012111530023180	叔公	shū gōng
RECID=R2012111530023181	叔母	shū mǔ
RECID=R2012111530023182	叔伯	① shū bó;②shū bai
RECID=R2012111530023183	叔叔	shū shu
RECID=R2012111530023184	叔姑	shū gū
RECID=R2012111530023185	叔祖	shū zǔ
RECID=R2012111530023186	叔祖母	shū zǔ mǔ
RECID=R2012111530023187	叔翁	shū wēng
RECID=R2012111530023188	叔婆	shū pó
RECID=R2012111530023189	受	shòu
RECID=R2012111530023190	受人一饭，听人使唤	shòu rén yī fàn tīng rén shǐ huan
RECID=R2012111530023191	受人之托，忠人之事	shòu rén zhī tuō zhōng rén zhī shì
RECID=R2012111530023192	受人之禄，忠人之事	shòu rén zhī lù zhōng rén zhī shì
RECID=R2012111530023193	受人香火，为人销灾	shòu rén xiāng huǒ wèi rén xiāo
RECID=R2012111530023194	受亏	shòu kuī
RECID=R2012111530023195	受气	shòu qì
RECID=R2012111530023196	受气包	shòu qì bāo
RECID=R2012111530023197	受用	(一)shòu yòng;(二)
RECID=R2012111530023198	受主	shòu zhǔ
RECID=R2012111530023199	受礼	shòu lǐ
RECID=R2012111530023200	受训	shòu xùn
RECID=R2012111530023201	受讯	shòu xùn
RECID=R2012111530023202	受孕	shòu yùn
RECID=R2012111530023203	受刑	shòu xíng
RECID=R2012111530023204	受动	shòu dòng
RECID=R2012111530023205	受托	shòu tuō
RECID=R2012111530023206	受权	shòu quán
RECID=R2012111530023207	受过	shòu guò
RECID=R2012111530023208	受死	shòu sǐ
RECID=R2012111530023209	受伤	shòu shāng
RECID=R2012111530023210	受众	shòu zhòng
RECID=R2012111530023211	受戒	shòu jiè
RECID=R2012111530023212	受听	shòu tīng
RECID=R2012111530023213	受穷	shòu qióng
RECID=R2012111530023214	受灾	shòu zāi
RECID=R2012111530023215	受纳	shòu nà
RECID=R2012111530023216	受苦	shòu kǔ
RECID=R2012111530023217	受事	shòu shì
RECID=R2012111530023218	受命	shòu mìng
RECID=R2012111530023219	受宠若惊	shòu chǒng ruò jīng
RECID=R2012111530023220	受审	shòu shěn
RECID=R2012111530023221	受话器	shòu huà qì
RECID=R2012111530023222	受屈	shòu qū
RECID=R2012111530023223	受降	shòu xiáng
RECID=R2012111530023224	受绌	shòu chù
RECID=R2012111530023225	受罚	shòu fá
RECID=R2012111530023226	受看	shòu kàn
RECID=R2012111530023227	受胎	shòu tāi
RECID=R2012111530023228	受奖	shòu jiǎng
RECID=R2012111530023229	受洗	shòu xǐ
RECID=R2012111530023230	受挫	shòu cuò
RECID=R2012111530023231	受热	shòu rè
RECID=R2012111530023232	受辱	shòu rǔ
RECID=R2012111530023233	受贿	shòu huì
RECID=R2012111530023234	受敌	shòu dí
RECID=R2012111530023235	受病	shòu bìng
RECID=R2012111530023236	受凉	shòu liáng
RECID=R2012111530023237	受粉	shòu fěn
RECID=R2012111530023238	受益	shòu yì
RECID=R2012111530023239	受害	shòu hài
RECID=R2012111530023240	受家	shòu jiā
RECID=R2012111530023241	受难	shòu nàn
RECID=R2012111530023242	受难节	shòu nàn jié
RECID=R2012111530023243	受理	shòu lǐ
RECID=R2012111530023244	受教	shòu jiào
RECID=R2012111530023245	受累	① shòu lèi;② shòu lěi
RECID=R2012111530023246	受盘	shòu pán
RECID=R2012111530023247	受领	shòu lǐng
RECID=R2012111530023248	受惊	shòu jīng
RECID=R2012111530023249	受暑	shòu shǔ
RECID=R2012111530023250	受窘	shòu jiǒng
RECID=R2012111530023251	受骗	shòu piàn
RECID=R2012111530023252	受聘	shòu pìn
RECID=R2012111530023253	受罪	shòu zuì
RECID=R2012111530023254	受精	shòu jīng
RECID=R2012111530023255	受精卵	shòu jīng luǎn
RECID=R2012111530023256	受精卵移植	shòu jīng luǎn yí zhí
RECID=R2012111530023257	受潮	shòu cháo
RECID=R2012111530023258	变	biàn
RECID=R2012111530023259	变工	biàn gōng
RECID=R2012111530023260	变工队	biàn gōng duì
RECID=R2012111530023261	变天	biàn tiān
RECID=R2012111530023262	变化	biàn huà
RECID=R2012111530023263	变化无穷	biàn huà wú qióng
RECID=R2012111530023264	变化无常	biàn huà wú cháng
RECID=R2012111530023265	变文	biàn wén
RECID=R2012111530023266	变计	biàn jì
RECID=R2012111530023267	变心	biàn xīn
RECID=R2012111530023268	变幻	biàn huàn
RECID=R2012111530023269	变幻无穷	biàn huàn wú qióng
RECID=R2012111530023270	变幻莫测	biàn huàn mò cè
RECID=R2012111530023271	变节	biàn jié
RECID=R2012111530023272	变本加厉	biàn běn jiā lì
RECID=R2012111530023273	变灭	biàn miè
RECID=R2012111530023274	变叶木	biàn yè mù
RECID=R2012111530023275	变电所	biàn diàn suǒ
RECID=R2012111530023276	变电站	biàn diàn zhàn
RECID=R2012111530023277	变生肘腋	biàn shēng zhǒu yè
RECID=R2012111530023278	变记号	biàn jì hào
RECID=R2012111530023279	变动	biàn dòng
RECID=R2012111530023280	变动不居	biàn dòng bù jū
RECID=R2012111530023281	变压器	biàn yā qì
RECID=R2012111530023282	变则	biàn zé
RECID=R2012111530023283	变迁	biàn qiān
RECID=R2012111530023284	变色	biàn sè
RECID=R2012111530023285	变色龙	biàn sè lóng
RECID=R2012111530023286	变产	biàn chǎn
RECID=R2012111530023287	变异	biàn yì
RECID=R2012111530023288	变戏法	biàn xì fǎ
RECID=R2012111530023289	变形	biàn xíng
RECID=R2012111530023290	变形虫	biàn xíng chóng
RECID=R2012111530023291	变形体力学	biàn xíng tǐ lì xué
RECID=R2012111530023292	变声	biàn shēng
RECID=R2012111530023293	变把戏	biàn bǎ xì
RECID=R2012111530023294	变更	biàn gēng
RECID=R2012111530023295	变乱	biàn luàn
RECID=R2012111530023296	变兵	biàn bīng
RECID=R2012111530023297	变弃	biàn qì
RECID=R2012111530023298	变局	biàn jú
RECID=R2012111530023299	变改	biàn gǎi
RECID=R2012111530023300	变阻器	biàn zǔ qì
RECID=R2012111530023301	变现	biàn xiàn
RECID=R2012111530023302	变卦	biàn guà
RECID=R2012111530023303	变卖	biàn mài
RECID=R2012111530023304	变态	biàn tài
RECID=R2012111530023305	变易	biàn yì
RECID=R2012111530023306	变例	biàn lì
RECID=R2012111530023307	变质	biàn zhì
RECID=R2012111530023308	变法	biàn fǎ
RECID=R2012111530023309	变法儿	biàn fàr
RECID=R2012111530023310	变性	biàn xìng
RECID=R2012111530023311	变奏	biàn zòu
RECID=R2012111530023312	变奏曲式	biàn zòu qǔ shì
RECID=R2012111530023313	变革	biàn gé
RECID=R2012111530023314	变故	biàn gù
RECID=R2012111530023315	变相	biàn xiàng
RECID=R2012111530023316	变星	biàn xīng
RECID=R2012111530023317	变种	biàn zhǒng
RECID=R2012111530023318	变换	biàn huàn
RECID=R2012111530023319	变格	biàn gé
RECID=R2012111530023320	变样	biàn yàng
RECID=R2012111530023321	变速	biàn sù
RECID=R2012111530023322	变速运动	biàn sù yùn dòng
RECID=R2012111530023323	变速箱	biàn sù xiāng
RECID=R2012111530023324	变速器	biàn sù qì
RECID=R2012111530023325	变调	biàn diào
RECID=R2012111530023326	变通	biàn tōng
RECID=R2012111530023327	变难	biàn nàn
RECID=R2012111530023328	变脸	biàn liǎn
RECID=R2012111530023329	变脸变色	biàn liǎn biàn sè
RECID=R2012111530023330	变象	biàn xiàng
RECID=R2012111530023331	变率	biàn lǜ
RECID=R2012111530023332	变着	biàn zhāo
RECID=R2012111530023333	变着法儿	biàn zhe fǎr
RECID=R2012111530023334	变蛋	biàn dàn
RECID=R2012111530023335	变量	biàn liàng
RECID=R2012111530023336	变焦距镜头	biàn jiāo jù jìng tóu
RECID=R2012111530023337	变温动物	biàn wēn dòng wù
RECID=R2012111530023338	变频器	biàn pín qì
RECID=R2012111530023339	变数	biàn shù
RECID=R2012111530023340	变端	biàn duān
RECID=R2012111530023341	变徵	biàn zhǐ
RECID=R2012111530023342	变颜变色	biàn yán biàn sè
RECID=R2012111530023343	叟	sǒu
RECID=R2012111530023344	叙	xù
RECID=R2012111530023345	叙文	xù wén
RECID=R2012111530023346	叙功	xù gōng
RECID=R2012111530023347	叙旧	xù jiù
RECID=R2012111530023348	叙用	xù yòng
RECID=R2012111530023349	叙会	xù huì
RECID=R2012111530023350	叙别	xù bié
RECID=R2012111530023351	叙言	xù yán
RECID=R2012111530023352	叙述	xù shù
RECID=R2012111530023353	叙事	xù shì
RECID=R2012111530023354	叙事诗	xù shì shī
RECID=R2012111530023355	叙话	xù huà
RECID=R2012111530023356	叙说	xù shuō
RECID=R2012111530023357	叙谈	xù tán
RECID=R2012111530023358	叛	pàn
RECID=R2012111530023359	叛乱	pàn luàn
RECID=R2012111530023360	叛卖	pàn mài
RECID=R2012111530023361	叛国	pàn guó
RECID=R2012111530023362	叛变	pàn biàn
RECID=R2012111530023363	叛降	pàn xiáng
RECID=R2012111530023364	叛逃	pàn táo
RECID=R2012111530023365	叛逆	pàn nì
RECID=R2012111530023366	叛徒	pàn tú
RECID=R2012111530023367	叛离	pàn lí
RECID=R2012111530023368	叠	dié
RECID=R2012111530023369	叠用	dié yòng
RECID=R2012111530023370	叠印	dié yìn
RECID=R2012111530023371	叠句	dié jù
RECID=R2012111530023372	叠加	dié jiā
RECID=R2012111530023373	叠地	dié dì
RECID=R2012111530023374	叠次	dié cì
RECID=R2012111530023375	叠字	dié zì
RECID=R2012111530023376	叠声	dié shēng
RECID=R2012111530023377	叠连	dié lián
RECID=R2012111530023378	叠床架屋	dié chuáng jià wū
RECID=R2012111530023379	叠现	dié xiàn
RECID=R2012111530023380	叠罗汉	dié luó hàn
RECID=R2012111530023381	叠放	dié fàng
RECID=R2012111530023382	叠肩	dié jiān
RECID=R2012111530023383	叠绕	dié rào
RECID=R2012111530023384	叠累	dié lěi
RECID=R2012111530023385	叠掌	dié zhǎng
RECID=R2012111530023386	叠韵	dié yùn
RECID=R2012111530023387	叠叠	dié dié
RECID=R2012111530023388	叠嶂重峦	dié zhàng chóng luán
RECID=R2012111530023389	叠翠	dié cuì
RECID=R2012111530023390	叠影	dié yǐng
RECID=R2012111530023391	燮	xiè
RECID=R2012111530023392	燮	xiè
RECID=R2012111530023394	廷	tíng
RECID=R2012111530023395	廷试	tíng shì
RECID=R2012111530023396	延	yán
RECID=R2012111530023397	延长	yán cháng
RECID=R2012111530023398	延引	yán yǐn
RECID=R2012111530023399	延年益寿	yán nián yì shòu
RECID=R2012111530023400	延伫	yán zhù
RECID=R2012111530023401	延时摄影	yán shí shè yǐng
RECID=R2012111530023402	延伸	yán shēn
RECID=R2012111530023403	延伸率	yán shēn lǜ
RECID=R2012111530023404	延迟	yán chí
RECID=R2012111530023405	延阻	yán zǔ
RECID=R2012111530023406	延纳	yán nà
RECID=R2012111530023407	延性	yán xìng
RECID=R2012111530023408	延宕	yán dàng
RECID=R2012111530023409	延胡索	yán hú suǒ
RECID=R2012111530023410	延误	yán wù
RECID=R2012111530023411	延挨	yán ái
RECID=R2012111530023412	延脑	yán nǎo
RECID=R2012111530023413	延留	yán liú
RECID=R2012111530023414	延烧	yán shāo
RECID=R2012111530023415	延请	yán qǐng
RECID=R2012111530023416	延展	yán zhǎn
RECID=R2012111530023417	延捱	yán ái
RECID=R2012111530023418	延颈企踵	yán jǐng qǐ zhǒng
RECID=R2012111530023419	延续	yán xù
RECID=R2012111530023420	延绵	yán mián
RECID=R2012111530023421	延揽	yán lǎn
RECID=R2012111530023422	延搁	yán gē
RECID=R2012111530023423	延期	yán qī
RECID=R2012111530023424	延滞	yán zhì
RECID=R2012111530023425	延缓	yán huǎn
RECID=R2012111530023426	延聘	yán pìn
RECID=R2012111530023427	延龄草	yán líng cǎo
RECID=R2012111530023428	延髓	yán suǐ
RECID=R2012111530023429	建	jiàn
RECID=R2012111530023430	建元	jiàn yuán
RECID=R2012111530023431	建白	jiàn bái
RECID=R2012111530023432	建立	jiàn lì
RECID=R2012111530023433	建兰	jiàn lán
RECID=R2012111530023434	建议	jiàn yì
RECID=R2012111530023435	建交	jiàn jiāo
RECID=R2012111530023436	建军	jiàn jūn
RECID=R2012111530023437	建设	jiàn shè
RECID=R2012111530023438	建设性	jiàn shè xìng
RECID=R2012111530023439	建材	jiàn cái
RECID=R2012111530023440	建国	jiàn guó
RECID=R2012111530023441	建制	jiàn zhì
RECID=R2012111530023442	建树	jiàn shù
RECID=R2012111530023443	建绒	jiàn róng
RECID=R2012111530023444	建造	jiàn zào
RECID=R2012111530023445	建筑	jiàn zhù
RECID=R2012111530023446	建筑声学	jiàn zhù shēng xué
RECID=R2012111530023447	建筑物	jiàn zhù wù
RECID=R2012111530023448	建筑学	jiàn zhù xué
RECID=R2012111530023449	建筑面积	jiàn zhù miàn jī
RECID=R2012111530023450	建置	jiàn zhì
RECID=R2012111530023451	建漆	jiàn qī
RECID=R2012111530023453	干	gān
RECID=R2012111530023454	干支	gān zhī
RECID=R2012111530023455	干戈	gān gē
RECID=R2012111530023456	干世	gān shì
RECID=R2012111530023457	干犯	gān fàn
RECID=R2012111530023458	干休	gān xiū
RECID=R2012111530023459	干扰	gān rǎo
RECID=R2012111530023460	干扰素	gān rǎo sù
RECID=R2012111530023461	干连	gān lián
RECID=R2012111530023462	干系	gān xì
RECID=R2012111530023463	干政	gān zhèng
RECID=R2012111530023464	干涉	gān shè
RECID=R2012111530023465	干预	gān yù
RECID=R2012111530023466	干碍	gān ài
RECID=R2012111530023467	干	gàn
RECID=R2012111530023468	干城	gàn chéng
RECID=R2012111530023469	干	gàn
RECID=R2012111530023470	干本	gàn běn
RECID=R2012111530023471	干线	gàn xiàn
RECID=R2012111530023472	干流	gàn liú
RECID=R2012111530023473	干渠	gàn qú
RECID=R2012111530023474	干道	gàn dào
RECID=R2012111530023475	干路	gàn lù
RECID=R2012111530023476	干	gàn
RECID=R2012111530023477	干一行，怨一行	gàn yī háng yuàn yī háng
RECID=R2012111530023478	干才	gàn cái
RECID=R2012111530023479	干么	gàn ma
RECID=R2012111530023480	干手	gàn shǒu
RECID=R2012111530023481	干什么	gàn shén me
RECID=R2012111530023482	干仗	gàn zhàng
RECID=R2012111530023483	干训班	gàn xùn bān
RECID=R2012111530023484	干吗	gàn má
RECID=R2012111530023485	干休所	gàn xiū suǒ
RECID=R2012111530023486	干弄	gàn nòng
RECID=R2012111530023487	干材	gàn cái
RECID=R2012111530023488	干劲	gàn jìn
RECID=R2012111530023489	干事	
RECID=R2012111530023490	干练	gàn liàn
RECID=R2012111530023491	干甚么	gàn shén me
RECID=R2012111530023492	干将	gàn jiàng
RECID=R2012111530023493	干活	gàn huó
RECID=R2012111530023494	干架	gàn jià
RECID=R2012111530023495	干校	gàn xiào
RECID=R2012111530023496	干部	gàn bù
RECID=R2012111530023497	干家	gàn jiā
RECID=R2012111530023498	干掉	gàn diào
RECID=R2012111530023499	干属	gàn shǔ
RECID=R2012111530023500	干嘛	gàn má
RECID=R2012111530023501	干警	gàn jǐng
RECID=R2012111530023502	干	gān
RECID=R2012111530023503	干人	gān rén
RECID=R2012111530023504	干儿	gān ér
RECID=R2012111530023505	干干净	gān gān jìng
RECID=R2012111530023506	干大	gān dà
RECID=R2012111530023507	干尸	gān shī
RECID=R2012111530023508	干女儿	gān nǚ ér
RECID=R2012111530023509	干贝	gān bèi
RECID=R2012111530023510	干贝蛤	gān bèi gé
RECID=R2012111530023511	干片	gān piàn
RECID=R2012111530023512	干巴	gān ba
RECID=R2012111530023513	干巴巴	gān bā bā
RECID=R2012111530023514	干巴利脆	gān ba lì cuì
RECID=R2012111530023515	干巴利落	gān ba lì luò
RECID=R2012111530023516	干打垒	gān dǎ lěi
RECID=R2012111530023517	干打雷，不下雨	gān dǎ léi bù xià yǔ
RECID=R2012111530023518	干号	① gān háo;② gān hào
RECID=R2012111530023519	干电池	gān diàn chí
RECID=R2012111530023520	干礼	gān lǐ
RECID=R2012111530023521	干丝	gān sī
RECID=R2012111530023522	干老子	gān lǎo zi
RECID=R2012111530023523	干达达	gān dá da
RECID=R2012111530023524	干血浆	gān xuè jiāng
RECID=R2012111530023525	干血痨	gān xuè láo
RECID=R2012111530023526	干冰	gān bīng
RECID=R2012111530023527	干衣机	gān yī jī
RECID=R2012111530023528	干妈	gān mā
RECID=R2012111530023529	干花	gān huā
RECID=R2012111530023530	干豆腐	gān dòu fu
RECID=R2012111530023531	干旱	gān hàn
RECID=R2012111530023532	干饭	gān fàn
RECID=R2012111530023533	干冷	gān lěng
RECID=R2012111530023534	干沐浴	gān mù yù
RECID=R2012111530023535	干没	gān mò
RECID=R2012111530023536	干劲	gān jìn
RECID=R2012111530023537	干坼	gān chè
RECID=R2012111530023538	干杯	gān bēi
RECID=R2012111530023539	干果	gān guǒ
RECID=R2012111530023540	干季	gān jì
RECID=R2012111530023541	干货	gān huò
RECID=R2012111530023542	干股	gān gǔ
RECID=R2012111530023543	干肥	gān féi
RECID=R2012111530023544	干净	gān jìng
RECID=R2012111530023545	干净利索	gān jìng lì suo
RECID=R2012111530023546	干净利落	gān jìng lì luò
RECID=R2012111530023547	干性油	gān xìng yóu
RECID=R2012111530023548	干妹子	gān mèi zi
RECID=R2012111530023549	干挣	gān zhēng
RECID=R2012111530023550	干草	gān cǎo
RECID=R2012111530023551	干枯	gān kū
RECID=R2012111530023552	干点	gān diǎn
RECID=R2012111530023553	干哑	gān yǎ
RECID=R2012111530023554	干哕	gān yuě
RECID=R2012111530023555	干咳	gān ké
RECID=R2012111530023556	干食	gān shí
RECID=R2012111530023557	干急	gān jí
RECID=R2012111530023558	干度	gān dù
RECID=R2012111530023559	干亲	gān qīn
RECID=R2012111530023560	干姜	gān jiāng
RECID=R2012111530023561	干洗	gān xǐ
RECID=R2012111530023562	干结	gān jié
RECID=R2012111530023563	干耗	gān hào
RECID=R2012111530023564	干热	gān rè
RECID=R2012111530023565	干柴烈火	gān chái liè huǒ
RECID=R2012111530023566	干哭	gān kū
RECID=R2012111530023567	干笔	gān bǐ
RECID=R2012111530023568	干笑	gān xiào
RECID=R2012111530023569	干倔	gān juè
RECID=R2012111530023570	干爹	gān diē
RECID=R2012111530023571	干脆	gān cuì
RECID=R2012111530023572	干脆利索	gān cuì lì suo
RECID=R2012111530023573	干脆利落	gān cuì lì luo
RECID=R2012111530023574	干粉	gān fěn
RECID=R2012111530023575	干酒	gān jiǔ
RECID=R2012111530023576	干涩	gān sè
RECID=R2012111530023577	干娘	gān niáng
RECID=R2012111530023578	干菜	gān cài
RECID=R2012111530023579	干爽	gān shuǎng
RECID=R2012111530023580	干雪	gān xuě
RECID=R2012111530023581	干船坞	gān chuán wū
RECID=R2012111530023582	干舷	gān xián
RECID=R2012111530023583	干着急	gān zháo jí
RECID=R2012111530023584	干涸	gān hé
RECID=R2012111530023585	干蛋	gān dàn
RECID=R2012111530023586	干落	gān luò
RECID=R2012111530023587	干硬	gān yìng
RECID=R2012111530023588	干裂	gān liè
RECID=R2012111530023589	干策策	gān cè cè
RECID=R2012111530023590	干猴儿	gān hóur
RECID=R2012111530023591	干痨	gān láo
RECID=R2012111530023592	干渣渣	gān zhā zhā
RECID=R2012111530023593	干渴	gān kě
RECID=R2012111530023594	干酪	gān lào
RECID=R2012111530023595	干酪素	gān lào sù
RECID=R2012111530023596	干雷	gān léi
RECID=R2012111530023597	干嗝	gān gé
RECID=R2012111530023598	干馏	gān liú
RECID=R2012111530023599	干粮	gān liáng
RECID=R2012111530023600	干酵母	gān jiào mǔ
RECID=R2012111530023601	干瘦	gān shòu
RECID=R2012111530023602	干辣辣	gān là là
RECID=R2012111530023603	干缩	gān suō
RECID=R2012111530023604	干僵	gān jiāng
RECID=R2012111530023605	干瘪	gān biě
RECID=R2012111530023606	干薪	gān xīn
RECID=R2012111530023607	干霍乱	gān huò luàn
RECID=R2012111530023608	干糙	gān cāo
RECID=R2012111530023609	干瞪眼	gān dèng yǎn
RECID=R2012111530023610	干嚎	gān háo
RECID=R2012111530023611	干燥	gān zào
RECID=R2012111530023612	干燥剂	gān zào jì
RECID=R2012111530023613	干蹦蹦	gān bèng bèng
RECID=R2012111530023614	干颤	gān chàn
RECID=R2012111530023615	午	wǔ
RECID=R2012111530023616	午市	wǔ shì
RECID=R2012111530023617	午休	wǔ xiū
RECID=R2012111530023618	午后	wǔ hòu
RECID=R2012111530023619	午报	wǔ bào
RECID=R2012111530023620	午时花	wǔ shí huā
RECID=R2012111530023621	午时茶	wǔ shí chá
RECID=R2012111530023622	午饭	wǔ fàn
RECID=R2012111530023623	午间	wǔ jiān
RECID=R2012111530023624	午灵	wǔ líng
RECID=R2012111530023625	午季	wǔ jì
RECID=R2012111530023626	午夜	wǔ yè
RECID=R2012111530023627	午刻	wǔ kè
RECID=R2012111530023628	午茶	wǔ chá
RECID=R2012111530023629	午前	wǔ qián
RECID=R2012111530023630	午炮	wǔ pào
RECID=R2012111530023631	午觉	wǔ jiào
RECID=R2012111530023632	午校	wǔ xiào
RECID=R2012111530023633	午朝门	wǔ cháo mén
RECID=R2012111530023634	午寐	wǔ mèi
RECID=R2012111530023635	午睡	wǔ shuì
RECID=R2012111530023636	午餐	wǔ cān
RECID=R2012111530023637	午餐肉	wǔ cān ròu
RECID=R2012111530023638	午膳	wǔ shàn
RECID=R2012111530023639	平	píng
RECID=R2012111530023640	平入平出	píng rù píng chū
RECID=R2012111530023641	平三套	píng sān tào
RECID=R2012111530023642	平土	píng tǔ
RECID=R2012111530023643	平土机	píng tǔ jī
RECID=R2012111530023644	平川	píng chuān
RECID=R2012111530023645	平凡	píng fán
RECID=R2012111530023646	平仄	píng zè
RECID=R2012111530023647	平车	píng chē
RECID=R2012111530023648	平日	píng rì
RECID=R2012111530023649	平水期	píng shuǐ qī
RECID=R2012111530023650	平手	píng shǒu
RECID=R2012111530023651	平反	píng fǎn
RECID=R2012111530023652	平分	píng fēn
RECID=R2012111530023653	平分秋色	píng fēn qiū sè
RECID=R2012111530023654	平月	píng yuè
RECID=R2012111530023655	平风静浪	píng fēng jìng làng
RECID=R2012111530023656	平匀	píng yún
RECID=R2012111530023657	平方	píng fāng
RECID=R2012111530023658	平方公里	píng fāng gōng lǐ
RECID=R2012111530023659	平方根	píng fāng gēn
RECID=R2012111530023660	平心	píng xīn
RECID=R2012111530023661	平心而论	píng xīn ér lùn
RECID=R2012111530023662	平心静气	píng xīn jìng qì
RECID=R2012111530023663	平允	píng yǔn
RECID=R2012111530023664	平正	píng zhèng
RECID=R2012111530023665	平布	píng bù
RECID=R2012111530023666	平平	píng píng
RECID=R2012111530023667	平灭	píng miè
RECID=R2012111530023668	平生	píng shēng
RECID=R2012111530023669	平白	píng bái
RECID=R2012111530023670	平白无故	píng bái wú gù
RECID=R2012111530023671	平市	píng shì
RECID=R2012111530023672	平头	píng tóu
RECID=R2012111530023673	平头数	píng tóu shù
RECID=R2012111530023674	平民	píng mín
RECID=R2012111530023675	平民习艺所	píng mín xí yì suǒ
RECID=R2012111530023676	平民文学	píng mín wén xué
RECID=R2012111530023677	平民院	píng mín yuàn
RECID=R2012111530023678	平民窟	píng mín kū
RECID=R2012111530023679	平台	píng tái
RECID=R2012111530023680	平动	píng dòng
RECID=R2012111530023681	平地	píng dì
RECID=R2012111530023682	平地一声雷	píng dì yī shēng léi
RECID=R2012111530023683	平地木	píng dì mù
RECID=R2012111530023684	平地风波	píng dì fēng bō
RECID=R2012111530023685	平地机	píng dì jī
RECID=R2012111530023686	平地起雷	píng dì qǐ léi
RECID=R2012111530023687	平地窑	píng dì yáo
RECID=R2012111530023688	平场	píng chǎng
RECID=R2012111530023689	平权	píng quán
RECID=R2012111530023690	平西	píng xī
RECID=R2012111530023691	平列	píng liè
RECID=R2012111530023692	平光	píng guāng
RECID=R2012111530023693	平光光	píng guāng guāng
RECID=R2012111530023694	平年	píng nián
RECID=R2012111530023695	平伏	píng fú
